,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra
bird,0.005800981704596163,0.0,0.020080321285140562,0.0,0.0,0.0,0.0,0.006247211066488175,0.05667112896028559,0.019187862561356538,0,0.0,0.018295403837572513,0.01740294511378849,0.01963409192324855,0.0,0.014725568942436412,0.0,0.05756358768406961,0.0,0.022311468094600623,0.0071396697902722,0.052655064703257475,0.0285586791610888,0.011155734047300312,0.0,0.025881302989736725,0.029451137884872823,0.020972780008924587,0.0,0.0,0.0,0.00535475234270415,0.0,0.0,0.0,0.03302097278000892,0.0,0.0,0.0,0.0,0.0049085229808121375,0.0049085229808121375,0.0,0.0071396697902722,0.0,0.0,0.0,0.0,0.25301204819277107,0.0,0.02320392681838465,0.0,0.0,0.0,0.0,0.0,0.004016064257028112,0.008478357875948238,0.0,0.0,0.004462293618920125,0.0035698348951361,0.0,0.0,0.019187862561356538,0.0,0.0004462293618920125,0.006693440428380187,0.0,0.0013386880856760374,0.0,0.01651048639000446,0.006247211066488175,0.027219991075412762,0.0107095046854083,0.022311468094600623,0.00892458723784025,0.0,0.0
boat,0.030028598665395614,0.0,0.03765490943755958,0.0,0.0,0.0,0.0,0.0023832221163012394,0.05910390848427073,0.04099142040038131,0.07912297426120114,0,0.0038131553860819827,0.023832221163012392,0.0109628217349857,0.0,0.019065776930409915,0.0,0.08436606291706387,0.0,0.0014299332697807435,0.0109628217349857,0.06339370829361296,0.02001906577693041,0.0038131553860819827,0.0,0.016682554814108675,0.022878932316491896,0.04575786463298379,0.0,0.0,0.0,0.004289799809342231,0.0,0.0,0.0,0.042897998093422304,0.0,0.0,0.0,0.0,0.008579599618684462,0.0014299332697807435,0.0,0.007149666348903718,0.0,0.0,0.0,0.0,0.6530028598665396,0.0009532888465204957,0.014299332697807437,0.0,0.0019065776930409914,0.0,0.0,0.0,0.0014299332697807435,0.008102955195424213,0.007149666348903718,0.0,0.004766444232602479,0.006196377502383222,0.0,0.0,0.05862726406101049,0.0,0.0,0.006196377502383222,0.0,0.0014299332697807435,0.0,0.004289799809342231,0.020972354623450904,0.05147759771210677,0.004766444232602479,0.08817921830314586,0.004766444232602479,0.0,0.0
book,0.0,0.0,0.04900910551687199,0.0,0.0,0.0,0.0,0.0,0.031065881092662024,0.0,0.0,0.0,0,0.17380824852704874,0.11087305838243171,0.0,0.0,0.0,0.017943224424209963,0.0,0.0,0.0,0.39930369576861274,0.0,0.0,0.0,0.20915907873594,0.1995179432244242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07766470273165506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4335832886984467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527584359935725,0.0,0.0,0.0,0.0,0.0
bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.028150134048257374,0.0,0.0,0.0,0.28468498659517427,0.0,0.0,0.0,0.35288203753351205,0.33930965147453085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537701072386059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3058870326173429,0,0.0,0.0,0.0,0.014319809069212411,0.0,0.0,0.0,0.2529832935560859,0.0,0.0,0.0,0.39737470167064437,0.4805091487669053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4105011933174224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
broccoli,0.0,0.0,0.0014925373134328358,0.02164179104477612,0.0,0.0,0.0,0.0,0.002238805970149254,0.0029850746268656717,0.002238805970149254,0.0,0.013432835820895522,0.08059701492537313,0.3746268656716418,0,0.0,0.016417910447761194,0.008208955223880597,0.0,0.0037313432835820895,0.005970149253731343,0.06417910447761194,0.004477611940298508,0.005970149253731343,0.0,0.1417910447761194,0.39552238805970147,0.002238805970149254,0.0,0.0007462686567164179,0.0,0.1701492537313433,0.0,0.0,0.0,0.014925373134328358,0.0014925373134328358,0.0,0.0029850746268656717,0.0007462686567164179,0.12164179104477611,0.0014925373134328358,0.0,0.0007462686567164179,0.0,0.0,0.029104477611940297,0.0,0.14850746268656717,0.06417910447761194,0.013432835820895522,0.011194029850746268,0.002238805970149254,0.07164179104477612,0.0,0.0,0.018656716417910446,0.0,0.0,0.0,0.1291044776119403,0.0,0.0,0.0,0.0,0.0007462686567164179,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0007462686567164179,0.0,0.0037313432835820895,0.006716417910447761,0.0029850746268656717,0.008208955223880597,0.04029850746268657,0.0
bus,0.0,0.0,0.12468649229666787,0.0,0.0,0.0,0.0,0.0,0.05481906126836259,0.0,0.0,0.0,0.002866356144750985,0.009673951988534575,0.0010748835542816195,0.0,0,0.0,0.5403081332855607,0.0,0.0007165890361877463,0.019706198495163023,0.020781082049444642,0.042637047653170904,0.00035829451809387314,0.0,0.005016123253314225,0.009673951988534575,0.012898602651379433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17162307416696523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7699749193837334,0.0,0.0200644930132569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032246506628448583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21999283410963813,0.0,0.23468290935148692,0.002866356144750985,0.0,0.0,0.0,0.0
cake,0.002403846153846154,0.0,0.011057692307692308,0.0,0.0,0.0,0.0,0.0033653846153846156,0.009134615384615385,0.002403846153846154,0.005288461538461539,0.002403846153846154,0.03942307692307692,0.14423076923076922,0.1971153846153846,0.0,0.0009615384615384616,0,0.013942307692307693,0.0,0.006730769230769231,0.035096153846153846,0.24423076923076922,0.021153846153846155,0.027884615384615386,0.0,0.2831730769230769,0.5932692307692308,0.023557692307692307,0.0,0.0,0.0,0.24519230769230768,0.0,0.0,0.0,0.032692307692307694,0.0,0.0,0.0,0.0,0.3076923076923077,0.008173076923076924,0.0,0.0009615384615384616,0.0,0.0,0.0,0.0,0.5490384615384616,0.01201923076923077,0.04519230769230769,0.0,0.00625,0.0,0.0,0.0,0.014423076923076924,0.0004807692307692308,0.0009615384615384616,0.0,0.17692307692307693,0.0033653846153846156,0.0,0.0,0.0,0.0,0.0,0.07451923076923077,0.0,0.0,0.0,0.0004807692307692308,0.007692307692307693,0.005288461538461539,0.028846153846153848,0.005288461538461539,0.03701923076923077,0.0,0.0
car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.04520102254241227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7043922844527074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrot,0.0,0.0,0.005902192242833052,0.04300168634064081,0.0,0.0,0.0,0.003372681281618887,0.002529510961214165,0.007588532883642495,0.002529510961214165,0.002529510961214165,0.01517706576728499,0.11804384485666104,0.43676222596964587,0.3608768971332209,0.0016863406408094434,0.03456998313659359,0.013490725126475547,0,0.011804384485666104,0.008431703204047217,0.07166947723440135,0.01011804384485666,0.010961214165261383,0.0,0.19477234401349072,0.40472175379426645,0.01517706576728499,0.0,0.00505902192242833,0.0,0.20994940978077573,0.0,0.006745362563237774,0.0,0.022765598650927487,0.003372681281618887,0.0,0.008431703204047217,0.0,0.19392917369308602,0.00505902192242833,0.0,0.002529510961214165,0.0008431703204047217,0.09106239460370995,0.03372681281618887,0.0,0.209106239460371,0.03035413153456998,0.0193929173693086,0.012647554806070826,0.002529510961214165,0.09865092748735245,0.0,0.0,0.01854974704890388,0.0,0.0,0.0,0.20236087689713322,0.0008431703204047217,0.0008431703204047217,0.0008431703204047217,0.0,0.0016863406408094434,0.0008431703204047217,0.008431703204047217,0.0,0.0,0.0,0.0008431703204047217,0.0008431703204047217,0.005902192242833052,0.005902192242833052,0.010961214165261383,0.013490725126475547,0.05143338954468803,0.0
cat,0.0,0.0,0.020936834634492547,0.0,0.0,0.0,0.0,0.0,0.032647267565649396,0.0,0.0,0.0,0.12349183818310859,0.07416607523066004,0.058907026259758695,0.0,0.0,0.0,0.04151880766501065,0.0,0,0.01738821859474805,0.13946061036195884,0.014904187366926898,0.11710432931156849,0.0,0.0695528743789922,0.055003548616039746,0.0511000709723208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030518097941802696,0.0,0.0,0.0,0.0,0.008161816891412349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17565649396735272,0.0,0.056422995031937546,0.0,0.0,0.0,0.0,0.0,0.044712562100780694,0.0,0.0,0.0,0.0,0.0042583392476933995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035486160397445,0.0,0.0035486160397444995,0.09723207948899928,0.0,0.0,0.0,0.0
cell phone,0.0,0.0,0.09813365442504515,0.0,0.0,0.0,0.0,0.0,0.057194461167971104,0.0,0.0,0.0,0.12612883804936786,0.12853702588801927,0.06472004816375677,0.0,0.0,0.0,0.10355207706201083,0.0,0.0,0,0.20108368452739314,0.0,0.0,0.0,0.17579771222155327,0.15713425647200482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19897652016857315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8010234798314269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03521974714027694,0.0,0.0,0.0,0.0,0.0
chair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6354189944134078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clock,0.0,0.0,0.04400126622348845,0.0,0.0,0.0,0.0,0.0,0.04083570750237417,0.0,0.0,0.0,0.1063627730294397,0.09559987337765116,0.06331117442228554,0.0,0.0,0.0,0.10034821145932257,0.0,0.0,0.033554922443811336,0.1693573915796138,0,0.08198797087685977,0.0,0.08673630895853118,0.09338398227287116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07565685343463122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41342196897752453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04241848686293131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026590693257359924,0.0778727445394112,0.0,0.0,0.0,0.0
couch,0.0,0.0,0.04100946372239748,0.0,0.0,0.0,0.0,0.0,0.014195583596214511,0.0,0.0,0.0,0.30662460567823346,0.13501577287066246,0.10220820189274447,0.0,0.0,0.0,0.009779179810725552,0.0,0.0,0.06845425867507886,0.4946372239747634,0.0,0,0.0,0.16750788643533124,0.24006309148264984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05299684542586751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5100946372239747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028391167192429023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003470031545741325,0.28675078864353315,0.0,0.0,0.0,0.0
cow,0.0007199424046076314,0.0,0.01583873290136789,0.003599712023038157,0.0,0.0007199424046076314,0.0,0.0014398848092152627,0.02159827213822894,0.03023758099352052,0.042476601871850254,0.0251979841612671,0.0014398848092152627,0.010079193664506839,0.0064794816414686825,0.0,0.013678905687544997,0.0,0.06911447084233262,0.0,0.0028797696184305254,0.005039596832253419,0.017998560115190784,0.0028797696184305254,0.0007199424046076314,0,0.005039596832253419,0.007199424046076314,0.035277177825773935,0.0,0.004319654427645789,0.0,0.0,0.0014398848092152627,0.009359251259899209,0.0,0.027357811375089993,0.05903527717782577,0.0,0.0007199424046076314,0.0014398848092152627,0.0007199424046076314,0.003599712023038157,0.0,0.04607631389488841,0.0,0.0,0.0007199424046076314,0.0,0.3167746580273578,0.0,0.004319654427645789,0.0014398848092152627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007199424046076314,0.0,0.0021598272138228943,0.0,0.0028797696184305254,0.0,0.012958963282937365,0.0,0.0,0.0,0.004319654427645789,0.003599712023038157,0.05183585313174946,0.0028797696184305254,0.01583873290136789,0.0,0.0,0.0
cup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027462411782755446,0.0,0.0,0.0,0.32525314513654496,0.0,0.0,0.0,0,0.5125805461798097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5339061061675361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dining table,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02649797087610408,0.0,0.0,0.0,0.43482931487228454,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4982095965624254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,0.0,0.0,0.0506412364353831,0.0,0.0,0.0,0.0,0.0,0.06215060835251562,0.0,0.0,0.0,0.06379480434067741,0.04932587964485367,0.04011838211114765,0.0,0.0,0.0,0.10654390003288391,0.0,0.0,0.021703387043735613,0.1252877342979283,0.01907267346267675,0.11081880960210456,0.0,0.04899704044722131,0.055573824399868466,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060177573166721475,0.0,0.0,0.0,0.0,0.009207497533706017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47648799736928643,0.0,0.04340677408747123,0.0,0.0,0.0,0.0,0.0,0.014140085498191384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052943110818809605,0.03748766853008879,0.0,0.0,0.0,0.0
